Account Factors::Profit Center,Promo ID,Pricing::Segment,Pricing::Engine,Promotion::SKU,Promotion::Start Date Promo,Promotion::End Date Promo,Pricing::Street,Promotion::Promo_Value,Promotion::Promo Type,Promotion::Promo_Net Price Point,Exp_Revenue Est,Exp_Billing Profit,Exp_Billing Profit Supply,Exp_Promo,Exp_Sales,Exp_Net Billing Profit,Account,Sell Through Estimate Adj,Sell Through Estimate POS,Sell Through Estimate Inv,Final Quantity,Sell Through Estimate,SOP_Period,SOP_Half,SOP_Quarter,Usage ID,Account Factors::SAP Account,Promotion::LevelType
1010,37321,zzz,123,TP1,1/1/2018,1/31/2018,79.99,44,1,35.99,11197.3575,3299.553817,12976.13566,15576,7162.014195,-6462.324718,1,175,354,,354,175,210,H2,Q1,113707,1,1
1010,37320,zzz,123,TP1,1/1/2018,1/31/2018,79.99,35,1,44.99,9597.735,2828.188986,11122.40199,19845,6138.86931,-12033.27833,1,150,567,567,567,150,210,H2,Q1,113708,1,1
1010,37320,zzz,123,TP1,1/1/2018,1/31/2018,79.99,35,1,44.99,11197.3575,3299.553817,12976.13566,665,7162.014195,8448.675282,1,175,,19,19,175,210,H2,Q1,113709,1,1
1010,37686,zzz,123,TP1,2/1/2018,2/28/2018,79.99,44,1,35.99,11197.3575,3299.553817,12976.13566,8624,7162.014195,489.6752822,1,175,296,196,196,175,211,H2,Q4,113710,1,1
1010,37686,zzz,123,TP1,2/1/2018,2/28/2018,79.99,44,1,35.99,3839.094,1131.275594,4448.960798,0,2455.547724,3124.688668,1,60,,0,0,60,211,H2,Q4,113711,1,1
1010,37686,zzz,123,TP1,2/1/2018,2/28/2018,79.99,44,1,35.99,3839.094,1131.275594,4448.960798,4400,2455.547724,-1275.311332,1,60,214,100,100,60,211,H2,Q4,113712,1,1
1010,38051,zzz,123,TP1,3/1/2018,3/31/2018,79.99,35,1,44.99,9277.8105,2733.91602,10751.65526,245,5934.240333,7306.330948,1,145,,7,7,145,212,H2,Q4,113713,1,1
1010,38051,zzz,123,TP1,3/1/2018,3/31/2018,79.99,35,1,44.99,9277.8105,2733.91602,10751.65526,7980,5934.240333,-428.6690519,1,145,235,228,228,145,212,H2,Q4,113715,1,1
1010,38052,zzz,123,TP1,3/1/2018,3/31/2018,79.99,44,1,35.99,3839.094,1131.275594,4448.960798,15840,2455.547724,-12715.31133,1,60,146,360,360,60,212,H2,Q4,113716,1,1
1010,38045,zzz,123,TP1,3/1/2018,3/31/2018,79.99,30,1,49.99,0,0,0,0,0,0,2,,,,,,212,H2,Q4,113862,2,2
1010,38045,zzz,123,TP1,3/1/2018,3/31/2018,79.99,30,1,49.99,0,0,0,0,0,0,2,,,,,,212,H2,Q4,113863,2,2
1010,38045,zzz,123,TP1,3/1/2018,3/31/2018,79.99,30,1,49.99,0,0,0,0,0,0,2,,,,,,212,H2,Q4,113864,2,2
1010,23593,zzz,123,TP1,11/1/2017,11/30/2017,79.99,30,1,49.99,9661.7199,2847.043579,11196.55134,4530,6179.795105,3333.799815,1,151,,151,151,0,208,H2,Q3,114043,1,1
1010,37314,zzz,123,TP1,1/1/2018,1/31/2018,79.99,30,1,49.99,0,0,0,0,0,0,2,,,,,,210,H2,Q1,114151,2,2
1010,37314,zzz,123,TP1,1/1/2018,1/31/2018,79.99,30,1,49.99,0,0,0,0,0,0,2,,,,,,210,H2,Q1,114152,2,2
1010,38669,zzz,123,TP1,4/1/2018,4/30/2018,79.99,30,1,49.99,1407.6678,414.8010513,1631.285626,660,643.119642,742.9670351,3,22,,,22,22,201,H1,Q1,114635,3,3
1010,38670,zzz,123,TP1,4/1/2018,4/30/2018,79.99,37,1,42.99,5694.6561,1678.058798,6599.29185,0,2601.711279,5675.639369,3,89,,0,0,89,201,H1,Q1,114636,3,3
1010,38669,zzz,123,TP1,4/1/2018,4/30/2018,79.99,30,1,49.99,1151.7282,339.3826783,1334.688239,0,736.6643172,937.4066005,4,18,,0,0,18,201,H1,Q1,114637,4,4
1010,38670,zzz,123,TP1,4/1/2018,4/30/2018,79.99,37,1,42.99,2687.3658,791.8929161,3114.272558,0,1718.883407,2187.282068,4,42,,0,0,42,201,H1,Q1,114638,4,4
1010,38669,zzz,123,TP1,4/1/2018,4/30/2018,79.99,30,1,49.99,8701.9464,2564.224681,10084.31114,4440,3975.648696,4232.887126,2,136,148,,148,136,201,H1,Q1,114639,2,2
1010,38670,zzz,123,TP1,4/1/2018,4/30/2018,79.99,37,1,42.99,6142.5504,1810.040951,7118.337276,0,2806.340256,6122.037972,2,96,,0,0,96,201,H1,Q1,114640,2,2
1010,38673,zzz,123,TP1,4/1/2018,4/30/2018,79.99,35,1,44.99,5054.8071,1489.512866,5857.798384,0,3233.137837,4114.173413,1,79,,0,0,79,201,H1,Q1,114641,1,1
1010,38674,zzz,123,TP1,4/1/2018,4/30/2018,79.99,44,1,35.99,20283.2133,5976.906058,23505.34288,0,12973.47714,16508.7718,1,317,,0,0,317,201,H1,Q1,114642,1,1
1010,39132,zzz,123,TP1,5/1/2018,5/31/2018,79.99,30,1,49.99,831.8037,245.1097121,963.9415062,750,380.025243,79.02597531,3,13,,25,25,13,202,H1,Q1,115098,3,3
1010,39133,zzz,123,TP1,5/1/2018,5/31/2018,79.99,37,1,42.99,3263.2299,961.5842553,3781.616678,0,1490.868261,3252.332672,3,51,,0,0,51,202,H1,Q1,115099,3,3
1010,39132,zzz,123,TP1,5/1/2018,5/31/2018,79.99,30,1,49.99,831.8037,245.1097121,963.9415062,0,532.0353402,677.0158781,4,13,,0,0,13,202,H1,Q1,115100,4,4
1010,39133,zzz,123,TP1,5/1/2018,5/31/2018,79.99,37,1,42.99,1983.5319,584.4923905,2298.629745,0,1268.699657,1614.422479,4,31,,0,0,31,202,H1,Q1,115101,4,4
1010,39132,zzz,123,TP1,5/1/2018,5/31/2018,79.99,30,1,49.99,11965.1763,3525.808936,13865.92782,2220,5466.516957,9705.219799,2,187,122,74,74,187,202,H1,Q1,115102,2,2
1010,39133,zzz,123,TP1,5/1/2018,5/31/2018,79.99,37,1,42.99,6142.5504,1810.040951,7118.337276,0,2806.340256,6122.037972,2,96,,0,0,96,202,H1,Q1,115103,2,2
1010,39136,zzz,123,TP1,5/1/2018,5/31/2018,79.99,35,1,44.99,6334.5051,1866.604731,7340.785316,0,4051.653745,5155.736303,1,99,,0,0,99,202,H1,Q1,115104,1,1
1010,39137,zzz,123,TP1,5/1/2018,5/31/2018,79.99,44,1,35.99,25210.0506,7428.709737,29214.84257,0,16124.76339,20518.78892,1,394,,0,0,394,202,H1,Q1,115105,1,1
1010,38669,zzz,123,TP1,4/1/2018,4/30/2018,79.99,30,1,49.99,0,0,0,0,0,0,2,,,,,,201,H1,Q1,116193,2,2
1010,38669,zzz,123,TP1,4/1/2018,4/30/2018,79.99,30,1,49.99,0,0,0,0,0,0,2,,,,,,201,H1,Q1,116194,2,2
1010,37314,zzz,123,TP1,1/1/2018,1/31/2018,79.99,30,1,49.99,0,0,0,0,0,0,3,,,,,,210,H2,Q1,116276,3,3
1010,37679,zzz,123,TP1,2/1/2018,2/28/2018,79.99,30,1,49.99,0,0,0,0,0,0,3,,,,,,211,H2,Q4,116344,3,3
1010,38046,zzz,123,TP1,3/1/2018,3/31/2018,79.99,37,1,42.99,0,0,0,0,0,0,3,,,,,,212,H2,Q4,116448,3,3
1010,38045,zzz,123,TP1,3/1/2018,3/31/2018,79.99,30,1,49.99,0,0,0,0,0,0,3,,,,,,212,H2,Q4,116449,3,3
1010,38673,zzz,123,TP1,4/1/2018,4/30/2018,79.99,35,1,44.99,1599.6225,471.364831,1853.733666,2625,1023.144885,-1323.046388,1,25,75,,75,25,201,H1,Q1,116594,1,1
1010,39132,zzz,123,TP1,5/1/2018,5/31/2018,79.99,30,1,49.99,0,0,0,0,0,0,2,,,,,,202,H1,Q1,116644,2,2
